math.vector,ebadu
math.derivative,ezako
math.velocity,upaia
math.acceleration,ojazi
math.ellipsoid,eiugo
math.plane,iside
math.map-projection,ishupo
math.weighted-averaging,akizi
physics.mass,osisha
physics.force,agozi
physics.energy,apagi
physics.power,iduiu
physics.momentum,obaba
physics.angular-velocity,ususe
physics.angular-acceleration,uzezu
physics.rotational-inertia,odeji
physics.torque,adedo
physics.field,uduzo
physics.potential,ozogo
physics.charge,ukipe
physics.current,igaga
physics.resistance,ezozi
physics.capacitance,akapa
physics.inductance,ubazi
physics.simple-harmonic-motion,egezo
astronomy.galaxy,uzeso
videogame.spamming,eiuku
videogame.openworld,ekaji
